"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"100","Brian Parker (FA)","1","2","6","6.0","6","0","0","0","0","0","0","9","1.1","0.1","0.0%"
"101","C.J. Uzomah (CIN)","1","1","4","4.0","4","0","0","0","0","0","0","5","0.9","0.2","0.2%"
"102","MarQueis Gray (FA)","1","1","2","2.0","2","0","0","0","0","0","0","4","0.7","0.2","0.0%"
"103","Matthew Mulligan (FA)","1","1","2","2.0","2","0","0","0","0","0","0","12","0.7","0.1","0.0%"
"104","Asante Cleveland (FA)","1","1","1","1.0","1","0","0","0","0","0","0","4","0.6","0.2","0.0%"
"105","Geoff Swaim (TEN)","1","1","0","0.0","0","0","0","0","0","0","0","4","0.5","0.1","0.0%"
"106","Irv Smith Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"107","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"110","Josh Oliver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Justin Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Charles Jones (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Darion Clark (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"120","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Hunter Bryant (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Jared Pinkney (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Jacob Breeland (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Colby Parkinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Harrison Bryant (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"126","Adam Trautman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"127","Jace Sternberger (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"128","Dawson Knox (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"129","Dax Raymond (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Hale Hentges (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Donald Parham Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Foster Moreau (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Dan Arnold (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"142","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Mark Andrews (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.2%"
