Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
211,Damiere Byrd,ARI,WR,2,3,66.67,0
212,Kareem Hunt,CLE,RB,2,3,66.67,1
213,Darren Sproles,PHI,RB,2,3,66.67,0
214,Justin Hardy,ATL,WR,2,3,66.67,0
215,Justice Hill,BAL,RB,2,3,66.67,0
216,Justin Jackson,LAC,RB,2,3,66.67,0
217,Derek Carrier,OAK,TE,2,3,66.67,1
218,Josh Jacobs,OAK,RB,2,3,66.67,0
219,Justin Watson,TB,WR,2,3,66.67,1
220,Rex Burkhead,NE,RB,2,3,66.67,0
221,Jalen Richard,OAK,RB,2,3,66.67,0
222,Carlos Hyde,HOU,RB,2,3,66.67,0
223,Ito Smith,ATL,RB,2,3,66.67,0
224,Rhett Ellison,NYG,TE,1,3,33.33,0
225,Vyncint Smith,NYJ,WR,1,3,33.33,0
226,Brian Hill,ATL,RB,1,3,33.33,1
227,Russell Shepard,NYG,WR,1,3,33.33,0
228,Jeremy Sprinkle,WAS,TE,1,3,33.33,1
229,Javon Wims,CHI,WR,1,3,33.33,1
230,Hale Hentges,WAS,TE,1,3,33.33,1
231,Marquez Valdes-Scantling,GB,WR,1,3,33.33,0
232,Malik Turner,SEA,WR,1,3,33.33,0
233,Rashard Higgins,CLE,WR,1,3,33.33,1
234,Stanley Morgan,CIN,WR,1,3,33.33,0
235,Pharoh Cooper,ARI,WR,1,3,33.33,1
236,Jake Kumerow,GB,WR,1,3,33.33,0
237,Blake Jarwin,DAL,TE,1,3,33.33,1
238,Marcedes Lewis,GB,TE,1,3,33.33,1
239,Adam Shaheen,CHI,TE,0,3,0.00,0
240,Trey Burton,CHI,TE,0,3,0.00,0
241,Raheem Mostert,SF,RB,2,2,100.00,0
242,Tyler Kroft,BUF,TE,2,2,100.00,1
243,James Washington,PIT,WR,2,2,100.00,1
244,Ian Thomas,CAR,TE,2,2,100.00,1
245,Chris Carson,SEA,RB,2,2,100.00,2
246,Kenny Stills,HOU,WR,2,2,100.00,2
247,Breshad Perriman,TB,WR,2,2,100.00,2
248,DeAndre Washington,OAK,RB,2,2,100.00,0
249,Peyton Barber,TB,RB,2,2,100.00,1
250,Benjamin Watson,NE,TE,2,2,100.00,0
251,Matt Breida,SF,RB,2,2,100.00,1
252,Jordan Howard,PHI,RB,2,2,100.00,1
253,Jesse James,DET,TE,2,2,100.00,0
254,Andrew Beck,DEN,TE,2,2,100.00,0
255,Robert Tonyan,GB,TE,2,2,100.00,1
256,Ty Montgomery,NYJ,RB,2,2,100.00,0
257,Adrian Peterson,WAS,RB,2,2,100.00,0
258,Byron Pringle,KC,WR,2,2,100.00,0
259,John Ross,CIN,WR,2,2,100.00,0
260,David Montgomery,CHI,RB,2,2,100.00,1
261,Alec Ingold,OAK,FB,2,2,100.00,1
262,Darrel Williams,KC,RB,2,2,100.00,1
263,David Njoku,CLE,TE,1,2,50.00,1
264,Darrius Shepherd,GB,WR,1,2,50.00,0
265,Scott Miller,TB,WR,1,2,50.00,0
266,Isaiah Ford,MIA,WR,1,2,50.00,0
267,Corey Davis,TEN,WR,1,2,50.00,1
268,Rashaad Penny,SEA,RB,1,2,50.00,1
269,Myles Gaskin,MIA,RB,1,2,50.00,0
270,Richie James,SF,WR,1,2,50.00,0
271,Seth Roberts,BAL,WR,1,2,50.00,1
272,Travis Benjamin,LAC,WR,1,2,50.00,0
273,Nick Vannett,PIT,TE,1,2,50.00,0
274,Geoff Swaim,JAX,TE,1,2,50.00,0
275,Bilal Powell,NYJ,RB,1,2,50.00,0
276,Spencer Ware,KC,RB,1,2,50.00,0
277,Matt LaCosse,NE,TE,0,2,0.00,0
278,J.D. McKissic,DET,RB,0,2,0.00,0
279,T.J. Yeldon,BUF,RB,0,2,0.00,0
280,Trent Sherfield,ARI,WR,0,2,0.00,0
281,Devin Smith,DAL,WR,0,2,0.00,0
282,KhaDarel Hodge,CLE,WR,0,2,0.00,0
283,C.J. Board,JAX,WR,0,2,0.00,0
284,Tanner Hudson,TB,TE,0,2,0.00,0
285,Marlon Mack,IND,RB,1,1,100.00,0
286,Anthony Sherman,KC,RB,1,1,100.00,0
287,Cethan Carter,CIN,TE,1,1,100.00,1
288,Darwin Thompson,KC,RB,1,1,100.00,0
289,Patrick Ricard,BAL,FB,1,1,100.00,1
290,Jakeem Grant,MIA,WR,1,1,100.00,0
291,Tommy Sweeney,BUF,TE,1,1,100.00,0
292,Nick Bellore,SEA,FB,1,1,100.00,1
293,Jacoby Brissett,IND,QB,1,1,100.00,0
294,Khari Blasingame,TEN,FB,1,1,100.00,0
295,Duke Williams,BUF,WR,1,1,100.00,1
296,Michael Crabtree,ARI,WR,1,1,100.00,0
297,Devontae Booker,DEN,RB,1,1,100.00,0
298,Lee Smith,BUF,TE,1,1,100.00,1
299,Ben Braunecker,CHI,TE,1,1,100.00,1
300,Daniel Brown,NYJ,TE,1,1,100.00,1
301,Troymaine Pope,LAC,RB,1,1,100.00,1
302,Brandon Zylstra,CAR,WR,1,1,100.00,0
303,Levine Toilolo,SF,TE,1,1,100.00,0
304,Gus Edwards,BAL,RB,1,1,100.00,0
305,Ronald Jones,TB,RB,1,1,100.00,0
306,T.J. Jones,NYG,WR,1,1,100.00,1
307,Deshaun Watson,HOU,QB,1,1,100.00,1
308,Derrick Henry,TEN,RB,1,1,100.00,0
309,Josh Oliver,JAX,TE,1,1,100.00,0
310,Stephen Carlson,CLE,TE,1,1,100.00,1
311,Darius Jennings,TEN,WR,1,1,100.00,0
312,Luke Stocker,ATL,TE,1,1,100.00,0
313,Ameer Abdullah,MIN,RB,1,1,100.00,1
314,Ty Johnson,DET,RB,1,1,100.00,0
315,Travis Homer,SEA,RB,1,1,100.00,0
316,Sean Culkin,LAC,TE,1,1,100.00,0
317,Andy Janovich,DEN,FB,1,1,100.00,0
318,Ryan Izzo,NE,TE,1,1,100.00,1
319,Ryquell Armstead,JAX,RB,1,1,100.00,1
320,Dan Arnold,ARI,TE,1,1,100.00,1
321,Christian Wilkins,MIA,DE,1,1,100.00,1
322,Ventell Bryant,DAL,WR,1,1,100.00,1
323,Jason Sanders,MIA,K,1,1,100.00,1
324,Keelan Doss,OAK,WR,1,1,100.00,0
325,Troy Fumagalli,DEN,TE,1,1,100.00,1
326,Vita Vea,TB,NT,1,1,100.00,1
327,David Quessenberry,TEN,OG,1,1,100.00,1
328,Jaeden Graham,ATL,TE,1,1,100.00,1
329,Derrius Guice,WAS,RB,1,1,100.00,0
330,J.P. Holtz,CHI,TE,1,1,100.00,0
331,Alex Armah,CAR,FB,1,1,100.00,0
332,Dennis Kelly,TEN,OT,1,1,100.00,1
333,Pharaoh Brown,CLE,TE,1,1,100.00,0
334,Mark Walton,MIA,RB,0,1,0.00,0
335,Danny Vitale,GB,RB,0,1,0.00,0
336,Deon Cain,PIT,WR,0,1,0.00,0
337,Jeff Wilson,SF,RB,0,1,0.00,0
338,Roosevelt Nix,PIT,FB,0,1,0.00,0
339,Johnny Mundt,LA,TE,0,1,0.00,0
340,George Fant,SEA,OT,0,1,0.00,0
341,Derek Watt,LAC,FB,0,1,0.00,0
342,Luke Willson,SEA,TE,0,1,0.00,0
343,MyCole Pruitt,TEN,TE,0,1,0.00,0
344,Austin Carr,NO,WR,0,1,0.00,0
345,Jace Sternberger,GB,TE,0,1,0.00,0
346,Antony Auclair,TB,TE,0,1,0.00,0
347,Tavon Austin,DAL,WR,0,1,0.00,0
348,Isaac Nauta,DET,TE,0,1,0.00,0
349,Mo Alie-Cox,IND,TE,0,1,0.00,0
350,Devin Funchess,IND,WR,0,1,0.00,0
351,Christian Blake,ATL,WR,0,1,0.00,0
352,Damion Willis,CIN,WR,0,1,0.00,0
353,Nick Bawden,DET,RB,0,1,0.00,0
354,Lance Kendricks,LAC,TE,0,1,0.00,0
355,Durham Smythe,MIA,TE,0,1,0.00,0
356,Michael Burton,WAS,RB,0,1,0.00,0
357,Jordan Wilkins,IND,RB,0,1,0.00,0
358,Kerryon Johnson,DET,RB,0,1,0.00,0
359,Andy Isabella,ARI,WR,0,1,0.00,0
360,Dontrell Hilliard,CLE,RB,0,1,0.00,0
"
",,,,,,,
" 
",,,,,,,
" 
",,,,,,,
" 
",,,,,,,
"
",,,,,,,
