"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"111","Ricardo Lockette (FA)","11","15","195","17.7","48","3","2","1","2","0","0","16","42.7","2.7","0.0%"
"112","Brandon Tate (FA)","17","26","193","11.4","50","1","1","3","21","0","1","16","42.4","2.7","0.0%"
"113","Albert Wilson (MIA)","16","28","260","16.3","48","4","0","0","0","0","0","12","42.0","3.5","0.1%"
"114","Corey Fuller (FA)","14","31","212","15.1","52","3","1","0","0","0","1","16","38.2","2.4","0.0%"
"115","Rishard Matthews (FA)","12","22","135","11.3","23","2","2","1","3","0","0","14","37.8","2.7","0.0%"
"116","Marquess Wilson (FA)","17","32","140","8.2","17","0","1","0","0","0","0","7","37.0","5.3","0.0%"
"117","Brenton Bersin (FA)","13","20","151","11.6","29","2","1","0","0","0","0","15","34.1","2.3","0.0%"
"118","Ted Ginn Jr. (FA)","14","26","190","13.6","27","3","0","3","6","0","0","16","34.0","2.1","0.2%"
"119","Chris Givens (FA)","11","20","159","14.5","47","3","1","1","4","0","0","14","33.3","2.4","0.0%"
"120","Bruce Ellington (FA)","6","12","62","10.3","20","1","2","6","28","1","0","13","33.0","2.5","0.0%"
"121","Greg Salas (FA)","8","23","167","20.9","51","4","0","1","20","1","0","10","32.7","3.3","0.0%"
"122","Eric Weems (FA)","10","11","102","10.2","40","1","2","0","0","0","0","16","32.2","2.0","0.0%"
"123","Donnie Avery (FA)","15","26","176","11.7","27","3","0","0","0","0","1","6","30.6","5.1","0.0%"
"124","Austin Pettis (FA)","12","18","118","9.8","27","1","1","0","0","0","0","5","29.8","6.0","0.0%"
"125","Mike Williams (FA)","8","19","142","17.8","80","2","1","0","0","0","0","9","28.2","3.1","0.0%"
"126","Chris Owusu (FA)","6","6","78","13.0","36","1","1","1","23","1","0","8","28.1","3.5","0.0%"
"127","Dontrelle Inman (WAS)","12","17","158","13.2","28","1","0","0","0","0","0","7","27.8","4.0","0.2%"
"128","Adam Thielen (MIN)","8","13","137","17.1","44","2","1","0","0","0","0","16","27.7","1.7","99.8%"
"129","Josh Morgan (FA)","10","19","70","7.0","13","0","1","2","30","0","0","14","26.0","1.9","0.0%"
"130","Vincent Brown (FA)","12","21","118","9.8","20","1","0","0","0","0","0","7","23.8","3.4","0.0%"
"131","Rod Streater (FA)","9","13","84","9.3","17","0","1","0","0","0","0","3","23.4","7.8","0.0%"
"132","Michael Campanaro (FA)","7","9","102","14.6","19","0","1","0","0","0","0","4","23.2","5.8","0.0%"
"133","Junior Hemingway (FA)","12","21","108","9.0","17","0","0","0","0","0","0","14","22.8","1.6","0.0%"
"134","Santana Moss (FA)","10","15","116","11.6","19","0","0","0","0","0","0","10","21.6","2.2","0.0%"
"135","Denarius Moore (FA)","12","27","115","9.6","28","1","0","1","1","0","1","10","21.6","2.2","0.0%"
"136","Joseph Morgan (FA)","4","10","92","23.0","62","1","0","1","67","0","0","5","19.9","4.0","0.0%"
"137","Jacoby Jones (FA)","9","18","131","14.6","31","2","0","3","16","0","2","16","19.7","1.2","0.0%"
"138","Justin Brown (FA)","12","21","94","7.8","18","0","0","0","0","0","1","8","19.4","2.4","0.0%"
"139","Brian Tyms (FA)","5","11","82","16.4","43","1","1","0","0","0","0","11","19.2","1.7","0.0%"
"140","Kevin Norwood (FA)","9","10","102","11.3","31","1","0","0","0","0","0","9","19.2","2.1","0.0%"
"141","Robert Meachem (FA)","7","21","114","16.3","25","2","0","0","0","0","0","11","18.4","1.7","0.0%"
"142","A.J. Jenkins (FA)","9","15","93","10.3","27","1","0","2","-2","0","0","9","18.1","2.0","0.0%"
"143","Robert Herron (FA)","6","12","58","9.7","16","0","1","1","0","0","0","8","17.8","2.2","0.0%"
"144","Trevor Graham (FA)","3","8","87","29.0","67","1","1","0","0","0","0","12","17.7","1.5","0.0%"
"145","Dane Sanzenbacher (FA)","9","15","105","11.7","26","1","0","1","-1","0","1","10","17.4","1.7","0.0%"
"146","James Wright (FA)","5","16","91","18.2","30","2","0","3","30","0","0","17","17.1","1.0","0.0%"
"147","Corey Washington (FA)","5","8","52","10.4","20","1","1","0","0","0","0","14","16.2","1.2","0.0%"
"148","Dwayne Harris (CHI)","7","12","116","16.6","56","1","0","4","7","0","2","16","15.3","1.0","0.0%"
"149","Santonio Holmes (FA)","8","14","67","8.4","15","0","0","0","0","0","0","9","14.7","1.6","0.0%"
"150","David Nelson (FA)","8","16","65","8.1","17","0","0","0","0","0","0","6","14.5","2.4","0.0%"
"151","Josh Huff (FA)","8","18","98","12.3","44","1","0","1","7","0","1","12","14.5","1.2","0.0%"
"152","Keshawn Martin (FA)","6","12","78","13.0","32","1","0","0","0","0","0","16","13.8","0.9","0.0%"
"153","Ryan Grant (FA)","7","15","68","9.7","21","1","0","0","0","0","0","16","13.8","0.9","0.0%"
"154","Mike Brown (FA)","7","15","88","12.6","17","0","0","0","0","0","1","5","13.8","2.8","0.0%"
"155","Greg Little (FA)","6","12","69","11.5","21","1","0","0","0","0","0","6","12.9","2.2","0.0%"
"156","Bryan Walters (FA)","6","11","57","9.5","17","0","0","1","-2","0","0","13","11.5","0.9","0.0%"
"157","Kris Durham (FA)","6","11","54","9.0","14","0","0","0","0","0","0","4","11.4","2.9","0.0%"
"158","Russell Shepard (FA)","4","8","63","15.8","23","2","0","0","0","0","0","16","10.3","0.6","0.0%"
"159","Kevin Ogletree (FA)","5","9","50","10.0","15","0","0","0","0","0","0","7","10.0","1.4","0.0%"
"160","Jerrel Jernigan (FA)","6","9","40","6.7","11","0","0","1","-2","0","0","2","9.8","4.9","0.0%"
"161","Andre Caldwell (FA)","5","15","47","9.4","15","0","0","0","0","0","0","16","9.7","0.6","0.0%"
"162","Jeff Maehl (FA)","5","5","46","9.2","15","0","0","0","0","0","0","8","9.6","1.2","0.0%"
"163","Ace Sanders (FA)","6","7","55","9.2","24","1","0","0","0","0","1","12","9.5","0.8","0.0%"
"164","Seyi Ajirotutu (FA)","4","12","45","11.3","17","0","0","0","0","0","0","16","8.5","0.5","0.0%"
"165","Frankie Hammond (FA)","4","11","45","11.3","22","1","0","0","0","0","0","16","8.5","0.5","0.0%"
"166","Quinton Patton (FA)","3","8","44","14.7","35","1","0","1","20","0","1","4","7.4","1.9","0.2%"
"167","Aaron Dobson (FA)","3","5","38","12.7","16","0","0","0","0","0","0","4","6.8","1.7","0.0%"
"168","Marquise Goodwin (PHI)","1","9","42","42.0","42","1","0","3","8","0","0","10","6.0","0.6","0.1%"
"169","Jarrett Boykin (FA)","3","12","23","7.7","11","0","0","0","0","0","0","13","5.3","0.4","0.0%"
"170","Ryan Broyles (FA)","2","5","25","12.5","21","1","0","0","0","0","0","5","4.5","0.9","0.0%"
"171","Darrius Heyward-Bey (FA)","3","5","33","11.0","17","0","0","0","0","0","1","16","4.3","0.3","0.0%"
"172","Cody Latimer (FA)","2","4","23","11.5","14","0","0","0","0","0","0","8","4.3","0.5","0.0%"
"173","DeVier Posey (FA)","1","1","30","30.0","30","1","0","0","0","0","0","1","4.0","4.0","0.0%"
"174","Devin Street (FA)","2","7","18","9.0","9","0","0","0","0","0","0","16","3.8","0.2","0.0%"
"175","Jeff Janis (FA)","2","2","16","8.0","9","0","0","0","0","0","0","3","3.6","1.2","0.0%"
"176","Tavarres King (FA)","2","3","13","6.5","7","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"177","Damian Williams (FA)","1","1","14","14.0","14","0","0","0","0","0","0","3","2.4","0.8","0.0%"
"178","Griff Whalen (FA)","2","3","23","11.5","18","0","0","0","0","0","1","10","2.3","0.2","0.0%"
"179","Courtney Roby (FA)","1","2","11","11.0","11","0","0","0","0","0","0","4","2.1","0.5","0.0%"
"180","Brad Smith (FA)","1","3","11","11.0","11","0","0","0","0","0","0","13","2.1","0.2","0.0%"
"181","Solomon Patton (FA)","0","0","0","0","0","0","0","1","19","0","0","7","1.9","0.3","0.0%"
"182","Josh Cribbs (FA)","1","1","8","8.0","8","0","0","0","0","0","0","6","1.8","0.3","0.0%"
"183","Micheal Spurlock (FA)","1","3","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"184","Aldrick Robinson (FA)","1","3","6","6.0","6","0","0","0","0","0","0","5","1.6","0.3","0.0%"
"185","Kevin Dorsey (FA)","1","2","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"186","N'Keal Harry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.4%"
"187","JJ Arcega-Whiteside (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"188","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Deebo Samuel (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.3%"
"190","Anthony Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Marquise Brown (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.3%"
"192","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"193","Jon'Vea Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Riley Ridley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"195","Keelan Doss (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Kelvin Harmon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"197","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Collin Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"199","Travis Fulgham (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.2%"
"200","Terry McLaurin (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"201","Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6%"
"202","Emanuel Hall (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Andy Isabella (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"204","Alexander Hollins (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Hunter Renfrow (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.5%"
"206","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"208","Shawn Poindexter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","David Sills V (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","D.J. Montgomery (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Damion Willis (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Thomas Ives (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Steven Sims (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"215","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"216","Jason Moore (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Denzel Mims (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.6%"
"219","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"220","K.J. Hill (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"221","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"222","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"224","Michael Pittman Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.3%"
"225","Devin Duvernay (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"226","KJ Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"227","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.3%"
"228","Justin Jefferson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.9%"
"229","Laviska Shenault Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.8%"
"230","Gunner Olszewski (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"231","Jalen Reagor (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.9%"
