Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,OWN,FG,FGA,PCT,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,INT,SACKS,ATT.1,FantasyPointsRank
72,Cordarrelle Patterson ,7,453,,39,4,2,52,70,43,8.7,0,0,16,87.6,5.5,5.90%,,,,,,,,,,,,,,,198.5
73,Jeremy Maclin ,1,536,,44,6,2,44,76,-1,12.2,0,0,12,87.5,7.3,0.00%,,,,,,,,,,,,,,,200
47,Kenneth Dixon ,88,382,4.3,20,1,2,30,41,162,5.4,1,0,12,87.4,7.3,0.00%,,,,,,,,,,,,,,,201
30,Greg Zuerlein ,,,,54,,,,,,,,,16,87,5.4,35.40%,19,22,86.4,0,5,9,3,2,23,23,,,,,202
23,Lance Kendricks ,0,499,,44,7,2,50,87,0,10,0,1,16,84.9,5.3,0.00%,,,,,,,,,,,,,,,203
74,Tajae Sharpe ,1,522,,34,7,2,41,83,1,12.7,0,0,16,84.8,5.3,0.00%,,,,,,,,,,,,,,,204
75,Breshad Perriman ,1,499,,53,8,3,33,66,2,15.1,0,0,16,84.6,5.3,20.20%,,,,,,,,,,,,,,,205
48,Chris Ivory ,117,439,3.8,42,2,3,20,28,186,9.3,0,3,11,84.5,7.7,0.00%,,,,,,,,,,,,,,,206.5
24,Rob Gronkowski ,0,540,,53,12,3,25,38,0,21.6,0,0,8,84.5,10.6,90.40%,,,,,,,,,,,,,,,206.5
49,Jacquizz Rodgers ,129,560,4.3,45,3,2,13,16,98,7.5,0,0,10,84.3,8.4,0.00%,,,,,,,,,,,,,,,208
76,John Brown ,1,517,,30,5,2,39,73,10,13.3,0,0,15,84.2,5.6,41.80%,,,,,,,,,,,,,,,209
50,Zach Zenner ,88,334,3.8,20,1,4,18,23,196,10.9,0,1,14,84,6,0.00%,,,,,,,,,,,,,,,210
25,Tyler Eifert ,0,394,,71,6,5,29,47,0,13.6,0,0,8,83.9,10.5,4.50%,,,,,,,,,,,,,,,211
77,Allen Hurns ,0,477,,42,9,3,35,76,0,13.6,0,0,11,83.2,7.6,0.00%,,,,,,,,,,,,,,,212
78,Phillip Dorsett II ,2,528,,64,8,2,33,59,10,16,0,0,15,82.3,5.5,0.20%,,,,,,,,,,,,,,,213
79,Victor Cruz ,0,586,,48,10,1,39,72,0,15,0,1,15,82.1,5.5,0.10%,,,,,,,,,,,,,,,214
51,Damien Williams ,35,115,3.3,23,1,3,23,32,249,10.8,3,1,15,81.9,5.5,2.00%,,,,,,,,,,,,,,,215
80,Malcolm Mitchell ,0,401,,56,6,4,32,48,0,12.5,0,0,14,80.1,5.7,0.00%,,,,,,,,,,,,,,,216.5
52,Charcandrick West ,88,293,3.3,28,2,1,28,34,188,6.7,2,0,15,80.1,5.3,0.00%,,,,,,,,,,,,,,,216.5
31,Brian Hoyer ,200,"1,445",7.2,,,6,,,-2,,0,1,6,79.2,13.2,0.10%,,,67,,,,,,,,134,0,4,7,218.5
26,Ryan Griffin ,0,442,,45,4,2,50,74,0,8.8,0,1,16,79.2,5,0.10%,,,,,,,,,,,,,,,218.5
53,Doug Martin ,144,421,2.9,17,0,3,14,16,134,9.6,0,1,8,78.5,9.8,0.00%,,,,,,,,,,,,,,,220
81,Jermaine Kearse ,0,510,,36,7,1,41,89,0,12.4,0,0,16,77.6,4.9,0.00%,,,,,,,,,,,,,,,221
32,Cody Kessler ,195,"1,380",7.1,,,6,,,18,,0,1,9,76.9,8.5,0.00%,,,65.6,,,,,,,,128,2,21,11,222
82,Corey Coleman ,2,413,,58,4,3,33,73,10,12.5,0,0,10,76.8,7.7,0.00%,,,,,,,,,,,,,,,223
54,DeAndre Washington ,87,467,5.4,30,7,2,17,23,115,6.8,0,1,14,76.7,5.5,0.70%,,,,,,,,,,,,,,,224
83,Marquise Goodwin ,0,431,,84,3,3,29,68,0,14.9,0,0,15,75.6,5,0.10%,,,,,,,,,,,,,,,225.5
84,Kendall Wright ,1,416,,48,6,3,29,43,15,14.3,0,0,11,75.6,6.9,0.00%,,,,,,,,,,,,,,,225.5
27,Vance McDonald ,0,391,,75,6,4,24,45,0,16.3,0,0,11,75.1,6.8,0.20%,,,,,,,,,,,,,,,227
85,Chris Conley ,0,530,,39,4,0,44,69,0,12,0,0,16,75,4.7,0.90%,,,,,,,,,,,,,,,228
86,Devin Funchess ,0,371,,48,8,4,23,58,0,16.1,0,0,15,74.6,5,0.60%,,,,,,,,,,,,,,,229
55,Travaris Cadet ,4,19,4.8,16,0,0,40,54,281,7,4,0,15,74,4.9,0.00%,,,,,,,,,,,,,,,230
33,Blaine Gabbert ,160,925,5.8,,,5,,,173,,2,0,6,73.2,12.2,0.10%,,,56.9,,,,,,,,91,6,11,40,231
34,Matt Barkley ,216,"1,611",7.5,,,8,,,2,,0,2,7,71.3,10.2,0.00%,,,59.7,,,,,,,,129,14,6,7,233
56,Matt Jones ,99,460,4.6,57,3,3,8,8,73,9.1,0,2,7,71.3,10.2,0.00%,,,,,,,,,,,,,,,233
28,Jesse James ,0,338,,24,2,3,39,60,0,8.7,0,0,16,71.3,4.5,0.10%,,,,,,,,,,,,,,,233
29,Clive Walford ,0,359,,31,3,3,33,52,0,10.9,0,0,15,70.4,4.7,0.00%,,,,,,,,,,,,,,,235
87,Nelson Agholor ,5,365,,40,3,2,36,69,14,10.1,0,0,15,69.9,4.7,34.60%,,,,,,,,,,,,,,,236
30,Will Tye ,0,395,,27,3,1,48,70,0,8.2,0,0,16,69.5,4.3,0.00%,,,,,,,,,,,,,,,237.5
31,Jermaine Gresham ,0,391,,34,4,2,37,61,0,10.6,0,0,16,69.5,4.3,0.00%,,,,,,,,,,,,,,,237.5
57,Paul Perkins ,112,456,4.1,22,2,0,15,24,162,10.8,0,0,14,69.3,5,0.00%,,,,,,,,,,,,,,,239
88,Dorial Green-Beckham ,0,392,,26,5,2,36,74,0,10.9,0,0,15,69.2,4.6,0.40%,,,,,,,,,,,,,,,240
89,Sammy Watkins ,0,430,,62,4,2,28,52,0,15.4,0,0,8,69,8.6,46.60%,,,,,,,,,,,,,,,241.5
58,Thomas Rawls ,109,349,3.2,45,1,3,13,17,96,7.4,0,0,9,69,7.7,0.10%,,,,,,,,,,,,,,,241.5
90,Sammie Coates ,4,435,,72,7,2,21,49,14,20.7,0,0,14,67.4,4.8,0.00%,,,,,,,,,,,,,,,243.5
59,Rex Burkhead ,74,344,4.6,17,0,2,17,20,145,8.5,0,1,16,67.4,4.2,12.80%,,,,,,,,,,,,,,,243.5
32,Julius Thomas ,0,281,,24,3,4,30,51,0,9.4,0,0,9,67.1,7.5,0.00%,,,,,,,,,,,,,,,245
91,Andrew Hawkins ,2,324,,33,5,3,33,54,0,9.8,0,0,16,66.9,4.2,0.00%,,,,,,,,,,,,,,,246
35,Robert Griffin III ,147,886,6,,,2,,,190,,2,1,5,66.5,13.3,0.80%,,,59.2,,,,,,,,87,3,22,31,247
92,Albert Wilson ,2,279,,42,4,2,31,51,50,9,1,0,16,66.4,4.2,0.10%,,,,,,,,,,,,,,,248
33,Garrett Celek ,0,350,,31,4,3,29,50,0,12.1,0,1,16,65.5,4.1,0.00%,,,,,,,,,,,,,,,249
93,Eddie Royal ,0,369,,64,3,2,33,43,0,11.2,0,0,9,65.4,7.3,0.00%,,,,,,,,,,,,,,,250
60,Jeremy Langford ,62,200,3.2,23,1,4,19,27,142,7.5,0,2,12,63.7,5.3,0.00%,,,,,,,,,,,,,,,251
34,Dion Sims ,0,256,,28,4,4,26,35,0,9.8,0,0,14,62.6,4.5,0.00%,,,,,,,,,,,,,,,252
31,Kai Forbath ,,,,51,,,,,,,,,7,62,8.9,2.20%,15,15,100,0,5,5,4,1,11,14,,,,,253
61,Fozzy Whittaker ,57,265,4.6,25,1,0,25,33,226,9,0,1,16,59.6,3.7,0.00%,,,,,,,,,,,,,,,254
94,Quinton Patton ,0,408,,45,4,0,37,63,0,11,0,0,14,59.3,4.2,0.20%,,,,,,,,,,,,,,,255
95,Brandon Coleman ,0,281,,38,2,3,26,38,0,10.8,0,0,16,59.1,3.7,0.00%,,,,,,,,,,,,,,,256
96,Russell Shepard ,1,341,,24,5,2,23,40,9,14.8,0,0,14,58.5,4.2,0.00%,,,,,,,,,,,,,,,257
97,Danny Amendola ,0,243,,32,1,4,23,29,0,10.6,0,1,12,58,4.8,3.40%,,,,,,,,,,,,,,,258
35,Trey Burton ,0,327,,32,1,1,37,60,0,8.8,0,0,15,57.2,3.8,30.20%,,,,,,,,,,,,,,,259
32,Blair Walsh ,,,,50,,,,,,,,,9,57,6.3,0.10%,12,16,75,1,1,5,4,1,15,19,,,,,260
36,Jared Cook ,0,377,,47,6,1,30,51,0,12.6,0,1,10,56.7,5.7,59.10%,,,,,,,,,,,,,,,261
62,Alfred Blue ,100,420,4.2,25,2,1,12,16,40,3.3,0,1,14,56,4,0.00%,,,,,,,,,,,,,,,262
63,Charles Sims ,51,149,2.9,23,1,1,24,32,190,7.9,1,1,7,55.9,8,0.00%,,,,,,,,,,,,,,,263
64,Kyle Juszczyk ,5,22,4.4,10,0,1,37,49,266,7.2,0,0,16,55.3,3.5,0.40%,,,,,,,,,,,,,,,264
98,Justin Hardy ,0,203,,27,2,4,21,31,0,9.7,0,0,16,54.8,3.4,0.00%,,,,,,,,,,,,,,,265
99,Torrey Smith ,0,267,,53,4,3,20,49,0,13.4,0,0,12,54.7,4.6,0.00%,,,,,,,,,,,,,,,266.5
36,Matt Moore ,87,721,8.3,,,8,,,-1,,0,0,4,54.7,13.7,0.00%,,,63.2,,,,,,,,55,3,1,1,266.5
37,Austin Hooper ,0,271,,44,4,3,19,27,0,14.3,0,0,14,54.6,3.9,65.50%,,,,,,,,,,,,,,,268
38,Richard Rodgers ,0,271,,22,2,2,30,47,0,9,0,0,16,54.1,3.4,3.60%,,,,,,,,,,,,,,,269
33,Robbie Gould ,,,,47,,,,,,,,,10,54,5.4,34.80%,10,10,100,0,3,3,4,0,20,23,,,,,270
100,Kamar Aiken ,0,328,,29,3,1,29,50,0,11.3,0,0,16,53.3,3.3,0.00%,,,,,,,,,,,,,,,271
37,Jared Goff ,205,"1,089",5.3,,,5,,,16,,1,2,7,53.2,7.6,59.90%,,,54.6,,,,,,,,112,7,26,8,272
101,Aldrick Robinson ,0,323,,59,6,2,20,32,0,16.2,0,0,16,52.9,3.3,0.00%,,,,,,,,,,,,,,,273
65,C.J. Prosise ,30,172,5.7,72,1,1,17,19,208,12.2,0,0,6,52.5,8.8,0.10%,,,,,,,,,,,,,,,274
38,Josh McCown ,165,"1,100",6.7,,,6,,,21,,0,4,5,52.1,10.4,0.00%,,,54.5,,,,,,,,90,6,18,7,275.5
66,Justin Forsett ,87,291,3.3,64,1,1,20,27,85,4.3,0,1,9,52.1,5.8,0.00%,,,,,,,,,,,,,,,275.5
67,Jamize Olawale ,17,47,2.8,17,0,2,12,14,227,18.9,1,0,16,51.4,3.2,0.00%,,,,,,,,,,,,,,,277
39,Jacob Tamme ,0,210,,19,0,3,22,31,0,9.5,0,0,8,50,6.3,0.00%,,,,,,,,,,,,,,,278
68,James Starks ,63,145,2.3,11,0,0,19,25,134,7.1,2,0,9,49.4,5.5,0.00%,,,,,,,,,,,,,,,279
69,John Kuhn ,18,37,2.1,4,0,4,16,20,70,4.4,1,0,16,48.7,3,0.00%,,,,,,,,,,,,,,,280
103,Justin Hunter ,0,189,,64,3,4,10,24,0,18.9,0,0,13,47.9,3.7,0.00%,,,,,,,,,,,,,,,281.5
102,Brice Butler ,0,219,,41,4,3,16,32,0,13.7,0,0,16,47.9,3,0.00%,,,,,,,,,,,,,,,281.5
104,Josh Bellamy ,4,282,,31,6,1,19,38,37,14.8,0,0,16,47.4,3,0.00%,,,,,,,,,,,,,,,283
39,Jay Cutler ,137,"1,059",7.7,,,4,,,24,,0,2,5,46.8,9.4,0.20%,,,59.1,,,,,,,,81,5,17,5,284
70,Dion Lewis ,64,283,4.4,15,0,0,17,24,94,5.5,0,0,7,46.2,6.6,1.90%,,,,,,,,,,,,,,,285
34,Josh Brown ,,,,48,,,,,,,,,5,46,9.2,0.00%,11,12,91.7,1,3,3,4,0,9,9,,,,,286
105,Deonte Thompson ,0,249,,24,2,2,22,36,0,11.3,0,1,16,45.9,2.9,0.00%,,,,,,,,,,,,,,,287
106,Paul Richardson Jr. ,1,288,,39,3,1,21,36,5,13.7,0,0,15,45.8,3.1,0.00%,,,,,,,,,,,,,,,288
107,Philly Brown ,2,276,,27,1,1,27,53,6,10.2,0,1,16,45.7,2.9,0.20%,,,,,,,,,,,,,,,289
108,Bryan Walters ,1,231,,23,1,2,24,34,4,9.6,0,1,10,45.5,4.6,0.00%,,,,,,,,,,,,,,,290
40,Ladarius Green ,0,304,,37,7,1,18,34,0,16.9,0,0,6,45.4,7.6,0.00%,,,,,,,,,,,,,,,291
41,Levine Toilolo ,0,264,,46,4,2,13,19,0,20.3,0,0,16,44.9,2.8,0.00%,,,,,,,,,,,,,,,292
109,Cobi Hamilton ,0,234,,39,4,2,17,28,0,13.8,0,0,11,43.9,4,0.00%,,,,,,,,,,,,,,,293
71,Wendell Smallwood ,77,312,4.1,19,0,1,6,13,55,9.2,0,1,13,43.7,3.4,0.00%,,,,,,,,,,,,,,,294.5
72,Dwayne Washington ,90,265,2.9,28,1,1,10,15,62,6.2,0,0,12,43.7,3.6,0.00%,,,,,,,,,,,,,,,294.5
42,Erik Swoope ,0,297,,45,6,1,15,22,0,19.8,0,0,16,43.2,2.7,0.00%,,,,,,,,,,,,,,,296
73,Aaron Ripkowski ,34,150,4.4,15,0,2,9,10,46,5.1,1,0,16,42.1,2.6,0.00%,,,,,,,,,,,,,,,297
43,C.J. Uzomah ,0,234,,54,2,1,25,38,0,9.4,0,0,10,41.9,4.2,0.20%,,,,,,,,,,,,,,,298
74,Eddie Lacy ,71,360,5.1,31,4,0,4,7,28,7,0,0,5,40.8,8.2,0.30%,,,,,,,,,,,,,,,299
44,Virgil Green ,0,237,,31,2,1,22,37,0,10.8,0,0,12,40.7,3.4,0.00%,,,,,,,,,,,,,,,300
110,Rod Streater ,0,191,,25,1,2,18,27,0,10.6,0,0,16,40.1,2.5,0.00%,,,,,,,,,,,,,,,301
75,Kenyan Drake ,33,179,5.4,45,1,2,9,10,46,5.1,0,0,16,39,2.4,95.80%,,,,,,,,,,,,,,,302
76,Alfred Morris ,69,243,3.5,17,0,2,3,6,11,3.7,0,0,14,38.9,2.8,0.20%,,,,,,,,,,,,,,,303.5
111,Jordan Taylor ,0,209,,35,4,2,16,25,0,13.1,0,1,16,38.9,2.4,0.00%,,,,,,,,,,,,,,,303.5
112,Darrius Heyward-Bey ,1,114,,46,2,2,6,19,60,19,1,0,10,38.4,3.8,0.00%,,,,,,,,,,,,,,,305
113,Geronimo Allison ,0,202,,39,3,2,12,22,0,16.8,0,0,10,38.2,3.8,0.00%,,,,,,,,,,,,,,,306
114,Andre Holmes ,0,126,,23,2,3,14,25,0,9,0,0,16,37.6,2.4,0.00%,,,,,,,,,,,,,,,307
115,Chester Rogers ,0,273,,36,6,0,19,34,0,14.4,0,0,14,36.8,2.6,0.00%,,,,,,,,,,,,,,,308
116,Eric Decker ,0,194,,35,5,2,9,21,0,21.6,0,0,3,35.9,12,0.60%,,,,,,,,,,,,,,,309
40,Jimmy Garoppolo ,63,502,8,,,4,,,6,,0,1,6,35.6,5.9,9.50%,,,68.3,,,,,,,,43,0,3,10,310
35,Randy Bullock ,,,,44,,,,,,,,,5,35,7,14.50%,8,9,88.9,0,4,2,2,0,9,10,,,,,311
45,Mychal Rivera ,0,192,,27,3,1,18,25,0,10.7,0,0,13,34.2,2.6,0.20%,,,,,,,,,,,,,,,312
117,Charone Peake ,0,186,,27,1,0,19,35,0,9.8,0,0,15,34.1,2.3,0.00%,,,,,,,,,,,,,,,313
41,Landry Jones ,86,558,6.5,,,4,,,-4,,0,0,8,33.9,4.2,0.00%,,,61.6,,,,,,,,53,2,4,6,314.5
77,Corey Grant ,32,164,5.1,57,1,1,4,7,35,8.8,1,0,11,33.9,3.1,0.00%,,,,,,,,,,,,,,,314.5
118,Jordan Norwood ,1,232,,36,3,1,21,35,0,11,0,3,14,33.7,2.4,0.00%,,,,,,,,,,,,,,,316
78,Peyton Barber ,55,223,4.1,44,1,1,5,6,28,5.6,0,0,15,33.6,2.2,1.00%,,,,,,,,,,,,,,,317
119,Charles Johnson ,0,232,,40,3,0,20,37,0,11.6,0,0,16,33.2,2.1,0.00%,,,,,,,,,,,,,,,318
46,Marcedes Lewis ,0,169,,37,1,1,20,30,0,8.5,0,0,10,32.9,3.3,0.10%,,,,,,,,,,,,,,,319
79,Shane Vereen ,33,158,4.8,25,1,1,11,19,94,8.5,0,2,5,32.7,6.5,0.00%,,,,,,,,,,,,,,,320
47,Luke Willson ,0,129,,19,0,2,15,21,0,8.6,0,0,11,32.4,2.9,0.20%,,,,,,,,,,,,,,,321
42,Bryce Petty ,133,809,6.1,,,3,,,19,,0,1,6,32.3,5.4,0.00%,,,56.4,,,,,,,,75,7,13,5,322
120,Bennie Fowler III ,0,145,,76,1,2,11,24,0,13.2,0,0,13,32,2.5,0.00%,,,,,,,,,,,,,,,323
48,Ben Koyack ,0,161,,17,0,1,19,24,0,8.5,0,0,14,31.6,2.3,0.00%,,,,,,,,,,,,,,,324.5
80,Kenjon Barner ,27,129,4.8,19,0,2,5,11,42,8.4,0,0,13,31.6,2.4,0.00%,,,,,,,,,,,,,,,324.5
81,DuJuan Harris ,38,138,3.6,19,0,0,8,9,115,14.4,1,2,10,31.3,3.1,0.00%,,,,,,,,,,,,,,,326
121,Jalin Marshall ,0,162,,27,3,2,14,23,0,11.6,0,2,10,31.2,3.1,0.00%,,,,,,,,,,,,,,,327
82,Kenneth Farrow ,60,192,3.2,11,0,0,13,16,70,5.4,0,1,13,30.7,2.4,0.00%,,,,,,,,,,,,,,,328
122,Jeff Janis ,2,93,,25,1,1,11,19,38,8.5,1,0,16,30.6,1.9,0.00%,,,,,,,,,,,,,,,329
83,Alex Collins ,31,125,4,26,1,1,11,11,84,7.6,0,1,11,30.4,2.8,0.20%,,,,,,,,,,,,,,,330
123,Jaron Brown ,0,187,,51,3,1,11,22,0,17,0,0,7,30.2,4.3,0.00%,,,,,,,,,,,,,,,331
124,Andre Roberts ,0,188,,44,3,1,14,25,0,13.4,0,1,16,29.8,1.9,0.10%,,,,,,,,,,,,,,,332
49,Seth DeValve ,0,127,,25,3,2,10,12,0,12.7,0,0,12,29.7,2.5,0.00%,,,,,,,,,,,,,,,333
84,Bobby Rainey ,17,63,3.7,14,0,0,20,25,153,7.7,0,1,15,29.6,2,0.00%,,,,,,,,,,,,,,,334.5
85,Mike Tolbert ,35,114,3.3,14,0,0,10,15,72,7.2,1,0,16,29.6,1.9,0.00%,,,,,,,,,,,,,,,334.5
125,Ricardo Louis ,0,205,,42,3,0,18,35,0,11.4,0,0,16,29.5,1.8,0.00%,,,,,,,,,,,,,,,336
86,Lance Dunbar ,9,31,3.4,10,0,1,16,24,122,7.6,0,0,13,29.3,2.3,0.00%,,,,,,,,,,,,,,,337.5
50,Xavier Grimble ,0,118,,20,2,2,11,21,0,10.7,0,0,13,29.3,2.3,0.00%,,,,,,,,,,,,,,,337.5
126,Kevin White ,1,187,,32,1,0,19,36,9,9.8,0,0,4,29.1,7.3,0.00%,,,,,,,,,,,,,,,339
87,Kerwynn Williams ,18,157,8.7,49,3,2,1,2,6,6,0,0,10,28.8,2.9,0.00%,,,,,,,,,,,,,,,340.5
51,Demetrius Harris ,0,123,,13,0,1,17,31,0,7.2,0,0,16,28.8,1.8,0.00%,,,,,,,,,,,,,,,340.5
128,Cody Core ,0,200,,50,3,0,17,27,0,11.8,0,0,8,28.5,3.6,0.00%,,,,,,,,,,,,,,,342.5
127,Harry Douglas ,0,210,,35,5,0,15,22,0,14,0,0,11,28.5,2.6,0.00%,,,,,,,,,,,,,,,342.5
43,Paxton Lynch ,83,497,6,,,2,,,25,,0,0,3,28.4,9.5,0.00%,,,59,,,,,,,,49,1,9,11,345
52,Josh Hill ,0,149,,35,3,1,15,22,0,9.9,0,0,9,28.4,3.2,0.10%,,,,,,,,,,,,,,,345
53,Darren Fells ,0,154,,37,2,1,14,18,0,11,0,0,14,28.4,2,2.00%,,,,,,,,,,,,,,,345
44,Jacoby Brissett ,55,400,7.3,,,0,,,83,,1,1,3,28.3,9.4,0.20%,,,61.8,,,,,,,,34,0,6,16,347
45,Nick Foles ,55,410,7.5,,,3,,,-4,,0,0,3,28,9.3,5.40%,,,65.5,,,,,,,,36,0,4,4,348.5
88,Cameron Artis-Payne ,36,144,4,14,0,2,1,1,11,11,0,0,3,28,9.3,0.00%,,,,,,,,,,,,,,,348.5
54,Austin Seferian-Jenkins ,0,154,,30,1,1,13,20,0,11.8,0,0,9,27.9,3.1,0.00%,,,,,,,,,,,,,,,350
89,Kapri Bibbs ,29,129,4.4,24,1,0,2,4,75,37.5,1,0,12,27.4,2.3,0.00%,,,,,,,,,,,,,,,351
90,Benny Cunningham ,21,101,4.8,24,2,0,16,21,91,5.7,0,0,11,27.2,2.5,0.00%,,,,,,,,,,,,,,,352
129,Josh Huff ,4,113,,17,0,1,16,23,15,7.1,0,0,10,26.8,2.7,0.00%,,,,,,,,,,,,,,,353
130,Marquess Wilson ,0,160,,35,3,1,9,16,0,17.8,0,0,3,26.5,8.8,0.00%,,,,,,,,,,,,,,,354
55,Daniel Brown ,0,124,,12,0,1,16,20,0,7.8,0,0,8,26.4,3.3,0.00%,,,,,,,,,,,,,,,355.5
91,Jonathan Grimes ,23,105,4.6,14,0,0,13,18,94,7.2,0,0,10,26.4,2.6,0.00%,,,,,,,,,,,,,,,355.5
56,Jerell Adams ,0,122,,14,0,1,16,21,0,7.6,0,0,13,26.2,2,0.00%,,,,,,,,,,,,,,,357
92,Ronnie Hillman ,41,131,3.2,17,0,0,7,15,93,13.3,0,0,8,25.9,3.2,0.00%,,,,,,,,,,,,,,,358
93,Josh Ferguson ,15,20,1.3,11,0,0,20,25,136,6.8,0,0,16,25.6,1.6,0.00%,,,,,,,,,,,,,,,359
57,Darren Waller ,0,85,,15,0,2,10,17,0,8.5,0,0,12,25.5,2.1,99.40%,,,,,,,,,,,,,,,360
94,Orleans Darkwa ,30,111,3.7,17,0,2,2,4,12,6,0,0,10,25.3,2.5,0.00%,,,,,,,,,,,,,,,361
131,Roger Lewis ,0,97,,30,2,2,7,19,0,13.9,0,0,13,25.2,1.9,0.00%,,,,,,,,,,,,,,,362
132,Andre Johnson ,0,85,,20,1,2,9,23,0,9.4,0,0,8,25,3.1,0.00%,,,,,,,,,,,,,,,363
133,Vincent Jackson ,0,173,,18,0,0,15,32,0,11.5,0,0,5,24.8,5,0.00%,,,,,,,,,,,,,,,364
58,MarQueis Gray ,0,174,,53,2,0,14,17,0,12.4,0,0,16,24.4,1.5,0.00%,,,,,,,,,,,,,,,365.5
59,Ed Dickson ,0,134,,28,3,1,10,19,0,13.4,0,0,16,24.4,1.5,0.00%,,,,,,,,,,,,,,,365.5
95,Ameer Abdullah ,18,101,5.6,24,1,0,5,5,57,11.4,1,0,2,24.3,12.2,0.10%,,,,,,,,,,,,,,,367.5
60,Anthony Fasano ,0,83,,17,0,2,8,14,0,10.4,0,0,16,24.3,1.5,0.10%,,,,,,,,,,,,,,,367.5
134,Freddie Martino ,0,142,,43,2,1,8,11,0,17.8,0,0,13,24.2,1.9,0.00%,,,,,,,,,,,,,,,369
96,Danny Woodhead ,19,116,6.1,23,2,0,6,8,35,5.8,1,0,2,24.1,12.1,20.60%,,,,,,,,,,,,,,,370.5
97,Andre Ellington ,34,96,2.8,13,0,0,12,19,85,7.1,0,0,16,24.1,1.5,0.10%,,,,,,,,,,,,,,,370.5
135,Braxton Miller ,3,99,,12,0,1,15,28,0,6.6,0,0,10,23.4,2.3,0.00%,,,,,,,,,,,,,,,372
61,Brent Celek ,0,155,,24,2,0,14,19,0,11.1,0,0,16,22.5,1.4,0.00%,,,,,,,,,,,,,,,373
62,A.J. Derby ,0,160,,17,0,0,16,20,0,10,0,1,10,22,2.2,0.00%,,,,,,,,,,,,,,,374
136,Walter Powell ,0,142,,35,1,0,14,25,0,10.1,0,0,9,21.2,2.4,0.00%,,,,,,,,,,,,,,,375
63,Stephen Anderson ,0,93,,14,0,1,11,16,0,8.5,0,0,13,20.8,1.6,0.00%,,,,,,,,,,,,,,,376
64,Larry Donnell ,0,92,,15,0,1,15,22,0,6.1,0,1,14,20.7,1.5,0.00%,,,,,,,,,,,,,,,377.5
137,Cecil Shorts ,0,152,,22,2,0,11,27,0,13.8,0,0,9,20.7,2.3,0.00%,,,,,,,,,,,,,,,377.5
98,Ka'Deem Carey ,32,126,3.9,24,1,0,5,7,55,11,0,0,12,20.6,1.7,0.00%,,,,,,,,,,,,,,,379
138,Brandon Tate ,3,117,,34,2,0,8,11,48,14.6,0,0,15,20.5,1.4,0.00%,,,,,,,,,,,,,,,380
99,Reggie Bush ,12,-3,-0.3,5,0,1,7,10,90,12.9,0,0,13,20.2,1.6,0.00%,,,,,,,,,,,,,,,381
139,Jaelen Strong ,0,131,,36,1,0,14,24,0,9.4,0,0,8,20.1,2.5,0.00%,,,,,,,,,,,,,,,382.5
140,Arrelious Benn ,0,116,,51,2,1,5,10,0,23.2,0,0,15,20.1,1.3,0.00%,,,,,,,,,,,,,,,382.5
65,Tyler Higbee ,0,85,,31,1,1,11,29,0,7.7,0,0,16,20,1.3,45.80%,,,,,,,,,,,,,,,384
141,Chris Harper ,0,133,,19,0,0,13,21,0,10.2,0,0,9,19.8,2.2,0.00%,,,,,,,,,,,,,,,385
66,Jeff Heuerman ,0,141,,31,2,0,9,17,0,15.7,0,0,12,18.6,1.6,0.00%,,,,,,,,,,,,,,,386
67,John Phillips ,0,72,,16,0,1,10,15,0,7.2,0,0,16,18.2,1.1,0.00%,,,,,,,,,,,,,,,387.5
142,Jarius Wright ,0,67,,11,0,1,11,14,0,6.1,0,0,8,18.2,2.3,0.00%,,,,,,,,,,,,,,,387.5
100,Denard Robinson ,41,144,3.5,9,0,0,3,5,22,7.3,0,0,13,18.1,1.4,0.20%,,,,,,,,,,,,,,,389
68,Nick O'Leary ,0,114,,28,2,0,9,14,0,12.7,0,0,16,17.9,1.1,0.00%,,,,,,,,,,,,,,,390
46,Tom Savage ,73,461,6.3,,,0,,,12,,0,1,3,17.6,5.9,0.00%,,,63,,,,,,,,46,0,5,6,391
69,Brandon Myers ,0,59,,12,0,1,7,14,0,8.4,0,0,16,17.4,1.1,0.00%,,,,,,,,,,,,,,,392
70,Crockett Gillmore ,0,71,,22,1,1,8,14,0,8.9,0,0,7,17.1,2.4,0.00%,,,,,,,,,,,,,,,393.5
143,Paul Turner ,0,126,,41,1,0,9,14,0,14,0,0,4,17.1,4.3,0.00%,,,,,,,,,,,,,,,393.5
144,Greg Salas ,0,89,,71,1,1,4,6,0,22.3,0,0,2,16.9,8.5,0.00%,,,,,,,,,,,,,,,395
47,Kevin Hogan ,26,104,4,,,0,,,105,,1,0,4,16.7,4.2,0.00%,,,53.8,,,,,,,,14,2,2,8,396.5
101,Terron Ward ,31,151,4.9,45,2,0,1,2,11,11,0,0,5,16.7,3.3,0.00%,,,,,,,,,,,,,,,396.5
145,James Wright ,2,106,,15,0,0,13,19,-6,8.2,0,0,16,16.5,1,0.00%,,,,,,,,,,,,,,,398.5
48,Derek Anderson ,53,453,8.5,,,2,,,4,,0,1,6,16.5,2.8,0.00%,,,67.9,,,,,,,,36,5,0,1,398.5
71,Rhett Ellison ,1,57,,21,1,0,9,14,1,6.3,1,0,15,16.3,1.1,0.00%,,,,,,,,,,,,,,,400.5
