Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
156,Jamaal Williams,GB,RB,27,41,65.85,0
157,Antonio Gates,LAC,TE,26,41,63.41,2
158,Phillip Dorsett,NE,WR,32,40,80.00,3
159,Keke Coutee,HOU,WR,28,40,70.00,1
160,Dontrelle Inman,IND,WR,27,40,67.50,3
161,Charles Clay,BUF,TE,23,40,57.50,0
162,James Washington,PIT,WR,18,40,45.00,1
163,Kerryon Johnson,DET,RB,32,39,82.05,1
164,Albert Wilson,MIA,WR,31,39,79.49,4
165,Greg Olsen,CAR,TE,27,39,69.23,4
166,Vernon Davis,WAS,TE,25,39,64.10,2
167,Paul Richardson,WAS,WR,20,39,51.28,2
168,Matt LaCosse,DEN,TE,25,38,65.79,1
169,Kareem Hunt,KC,RB,28,37,75.68,7
170,Wendell Smallwood,PHI,RB,29,36,80.56,2
171,Aaron Jones,GB,RB,26,36,72.22,1
172,Lamar Miller,HOU,RB,26,36,72.22,1
173,James OShaughnessy,JAX,TE,24,36,66.67,0
174,Nick Boyle,BAL,TE,23,36,63.89,1
175,Allen Hurns,DAL,WR,20,36,55.56,2
176,Aldrick Robinson,MIN,WR,17,36,47.22,5
177,Blake Jarwin,DAL,TE,28,35,80.00,3
178,Tyler Higbee,LA,TE,25,35,71.43,2
179,Demaryius Thomas,HOU,WR,23,35,65.71,2
180,Ito Smith,ATL,RB,28,34,82.35,0
181,Rhett Ellison,NYG,TE,25,34,73.53,1
182,Jakeem Grant,MIA,WR,21,34,61.76,2
183,Jack Doyle,IND,TE,26,33,78.79,3
184,Alex Erickson,CIN,WR,22,33,66.67,0
185,Mike Gesicki,MIA,TE,22,33,66.67,0
186,Jason Croom,BUF,TE,22,33,66.67,3
187,Geoff Swaim,DAL,TE,26,32,81.25,1
188,Bruce Ellington,DET,WR,24,32,75.00,0
189,Demarcus Robinson,KC,WR,21,32,65.63,4
190,Torrey Smith,CAR,WR,17,32,53.13,2
191,Matt Breida,SF,RB,27,31,87.10,2
192,Jordan Matthews,PHI,WR,21,31,67.74,2
193,Isaiah McKenzie,BUF,WR,20,31,64.52,0
194,Elijah McGuire,NYJ,RB,19,31,61.29,1
195,Marcell Ateman,OAK,WR,15,31,48.39,1
196,D.J. Chark,JAX,WR,14,31,45.16,0
197,Peyton Barber,TB,RB,21,30,70.00,1
198,Nick Chubb,CLE,RB,21,30,70.00,2
199,Geronimo Allison,GB,WR,20,30,66.67,2
200,Jonnu Smith,TEN,TE,20,30,66.67,3
201,Ted Ginn,NO,WR,18,30,60.00,2
202,Jaylen Samuels,PIT,RB,26,29,89.66,3
203,Isaiah Crowell,NYJ,RB,22,29,75.86,0
204,Cordarrelle Patterson,NE,WR,22,29,75.86,3
205,Jordan Thomas,HOU,TE,21,28,75.00,4
206,Alfred Blue,HOU,RB,21,28,75.00,0
207,Martavis Bryant,OAK,WR,20,28,71.43,0
208,Breshad Perriman,CLE,WR,18,28,64.29,2
209,Cody Core,CIN,WR,13,28,46.43,1
210,Levine Toilolo,DET,TE,22,27,81.48,1
211,Jordan Howard,CHI,RB,20,27,74.07,0
212,T.J. Jones,DET,WR,20,27,74.07,3
213,Trent Sherfield,ARI,WR,19,27,70.37,1
214,Virgil Green,LAC,TE,18,27,66.67,1
215,Latavius Murray,MIN,RB,22,26,84.62,0
216,Leonard Fournette,JAX,RB,22,26,84.62,1
217,Mark Ingram,NO,RB,21,26,80.77,1
218,Chase Edmonds,ARI,RB,21,26,80.77,0
219,Lance Kendricks,GB,TE,19,26,73.08,1
220,Adrian Peterson,WAS,RB,19,26,73.08,1
221,Chris Moore,BAL,WR,19,26,73.08,1
222,Marlon Mack,IND,RB,18,26,69.23,1
223,Jordan Akins,HOU,TE,17,26,65.38,0
224,Demetrius Harris,KC,TE,13,26,50.00,3
225,Corey Clement,PHI,RB,22,25,88.00,0
226,Chris Carson,SEA,RB,21,25,84.00,0
227,Bennie Fowler,NYG,WR,16,25,64.00,1
228,Jordan Leggett,NYJ,TE,14,25,56.00,1
229,Andy Jones,DET,WR,11,25,44.00,1
230,Doug Martin,OAK,RB,18,24,75.00,0
231,Trenton Cannon,NYJ,RB,17,24,70.83,0
232,Darren Sproles,PHI,RB,16,24,66.67,2
233,Josh Hill,NO,TE,16,24,66.67,1
234,Josh Bellamy,CHI,WR,14,24,58.33,1
235,Spencer Ware,KC,RB,20,23,86.96,0
236,DeAndre Carter,HOU,WR,20,23,86.96,0
237,Alex Collins,BAL,RB,17,23,73.91,1
238,Royce Freeman,DEN,RB,16,23,69.57,0
239,Chris Ivory,BUF,RB,15,23,65.22,0
240,Wayne Gallman,NYG,RB,14,22,63.64,0
241,Marshawn Lynch,OAK,RB,16,21,76.19,0
242,Luke Stocker,TEN,TE,16,21,76.19,2
243,Justin Hardy,ATL,WR,14,21,66.67,2
244,Luke Willson,DET,TE,13,21,61.90,0
245,Hayden Hurst,BAL,TE,12,21,57.14,1
246,Michael Floyd,WAS,WR,9,21,42.86,0
247,Tyler Eifert,CIN,TE,15,20,75.00,1
248,Keith Kirkwood,NO,WR,13,20,65.00,2
249,Travis Benjamin,LAC,WR,11,20,55.00,1
250,J.J. Nelson,ARI,WR,7,20,35.00,0
251,Derrick Henry,TEN,RB,15,19,78.95,0
252,Frank Gore,MIA,RB,15,19,78.95,1
253,Rex Burkhead,NE,RB,14,19,73.68,1
254,Jaron Brown,SEA,WR,14,19,73.68,5
255,Bilal Powell,NYJ,RB,13,19,68.42,1
256,Damion Ratley,CLE,WR,13,19,68.42,0
257,Marcus Murphy,BUF,RB,12,19,63.16,0
258,Austin Seferian-Jenkins,JAX,TE,12,19,63.16,2
259,Marvin Hall,ATL,WR,10,19,52.63,1
260,Dalton Schultz,DAL,TE,13,18,72.22,0
261,Logan Thomas,BUF,TE,13,18,72.22,0
262,Dan Arnold,NO,TE,11,18,61.11,1
263,Michael Roberts,DET,TE,9,18,50.00,3
264,Anthony Firkser,TEN,TE,17,17,100.00,1
265,Maxx Williams,BAL,TE,16,17,94.12,1
266,Jordan Wilkins,IND,RB,16,17,94.12,0
267,Cody Latimer,NYG,WR,12,17,70.59,1
268,Brandon Powell,DET,WR,11,17,64.71,0
269,Ty Montgomery,BAL,RB,11,17,64.71,0
270,Russell Shepard,NYG,WR,10,17,58.82,3
271,Brandon LaFell,OAK,WR,12,16,75.00,2
272,James Develin,NE,FB,12,16,75.00,0
273,C.J. Ham,MIN,FB,11,16,68.75,0
274,Tavon Austin,DAL,WR,10,16,62.50,2
275,Andre Roberts,NYJ,WR,10,16,62.50,1
276,Eli Rogers,PIT,WR,12,15,80.00,0
277,Eric Tomlinson,NYJ,TE,10,15,66.67,0
278,LeGarrette Blount,DET,RB,10,15,66.67,0
279,Austin Carr,NO,WR,9,15,60.00,2
280,Justin Hunter,PIT,WR,4,15,26.67,1
281,Jeff Wilson,SF,RB,12,14,85.71,0
282,Darren Fells,CLE,TE,12,14,85.71,3
283,Deontay Burnett,NYJ,WR,10,14,71.43,0
284,Jermaine Gresham,ARI,TE,9,14,64.29,0
285,Will Dissly,SEA,TE,8,14,57.14,2
286,Ed Dickson,SEA,TE,12,13,92.31,3
287,Niles Paul,JAX,TE,10,13,76.92,0
288,Richie James,SF,WR,10,13,76.92,1
289,Scott Simonson,NYG,TE,9,13,69.23,1
290,Mo Alie-Cox,IND,TE,8,13,61.54,2
291,Josh Adams,PHI,RB,7,13,53.85,0
292,Auden Tate,CIN,WR,4,13,30.77,0
293,Kalen Ballage,MIA,RB,11,12,91.67,0
294,Lee Smith,OAK,TE,10,12,83.33,3
295,Corey Grant,JAX,RB,9,12,75.00,0
296,Rod Smith,DAL,RB,9,12,75.00,0
297,Derek Carrier,OAK,TE,8,12,66.67,1
298,Jake Butt,DEN,TE,8,12,66.67,0
299,Alfred Morris,SF,RB,8,12,66.67,0
300,Cameron Batson,TEN,WR,9,11,81.82,0
301,Cameron Meredith,NO,WR,9,11,81.82,1
302,Rashaad Penny,SEA,RB,9,11,81.82,0
303,Darius Jennings,TEN,WR,8,11,72.73,0
304,Blake Bell,JAX,TE,8,11,72.73,0
305,Jake Kumerow,GB,WR,8,11,72.73,1
306,Brice Butler,MIA,WR,7,11,63.64,1
307,Sony Michel,NE,RB,7,11,63.64,0
308,Brian Parker,DEN,TE,6,11,54.55,0
309,Trey Quinn,WAS,WR,10,10,100.00,1
310,Dontrell Hilliard,CLE,RB,9,10,90.00,0
311,Justin Jackson,LAC,RB,8,10,80.00,0
312,Andy Janovich,DEN,FB,8,10,80.00,1
313,Taquan Mizzell,CHI,RB,8,10,80.00,1
314,Nick OLeary,MIA,TE,8,10,80.00,1
315,Carlos Hyde,JAX,RB,7,10,70.00,0
316,Zach Zenner,DET,RB,7,10,70.00,0
317,Russell Gage,ATL,WR,6,10,60.00,0
318,Durham Smythe,MIA,TE,6,10,60.00,0
319,Kevin White,CHI,WR,5,10,50.00,0
320,Josh Perkins,PHI,TE,5,10,50.00,0
321,Zach Line,NO,FB,5,10,50.00,2
322,Deonte Thompson,BUF,WR,3,10,30.00,0
323,Logan Paulsen,ATL,TE,9,9,100.00,1
324,Elijhaa Penny,NYG,RB,8,9,88.89,0
325,Anthony Sherman,KC,RB,8,9,88.89,1
326,Rashad Greene,JAX,WR,7,9,77.78,0
327,Ronald Jones,TB,RB,7,9,77.78,0
328,Tommy Bohanon,JAX,RB,6,9,66.67,0
329,Vyncint Smith,HOU,WR,5,9,55.56,1
330,Eric Saubert,ATL,TE,5,9,55.56,0
331,Corey Coleman,NYG,WR,5,9,55.56,0
332,Matt Lengel,CIN,TE,4,9,44.44,1
333,Antony Auclair,TB,TE,7,8,87.50,0
334,MyCole Pruitt,TEN,TE,7,8,87.50,0
335,Neal Sterling,NYJ,TE,6,8,75.00,0
336,Xavier Grimble,PIT,TE,6,8,75.00,0
337,Marcus Johnson,IND,WR,6,8,75.00,1
338,David Grinnage,JAX,TE,6,8,75.00,0
339,Mark Walton,CIN,RB,5,8,62.50,0
340,Noah Brown,DAL,WR,5,8,62.50,0
341,Jawill Davis,NYG,WR,4,8,50.00,0
342,Terrelle Pryor,BUF,WR,2,8,25.00,0
343,T.J. Logan,ARI,RB,7,7,100.00,0
344,Raheem Mostert,SF,RB,6,7,85.71,0
345,Kamar Aiken,PHI,WR,6,7,85.71,0
346,Keith Smith,OAK,FB,5,7,71.43,0
347,Devonta Freeman,ATL,RB,5,7,71.43,0
348,Tyler Conklin,MIN,TE,5,7,71.43,0
349,Garrett Celek,SF,TE,5,7,71.43,2
350,Malcolm Brown,LA,RB,5,7,71.43,1
351,Delanie Walker,TEN,TE,4,7,57.14,0
352,Rico Gathers,DAL,TE,3,7,42.86,0
353,Taysom Hill,NO,QB,3,7,42.86,0
354,Dwayne Harris,OAK,WR,6,6,100.00,0
355,Darren Waller,OAK,TE,6,6,100.00,0
356,Ray-Ray McCloud,BUF,WR,5,6,83.33,0
357,Seth DeValve,CLE,TE,5,6,83.33,1
358,Adam Shaheen,CHI,TE,5,6,83.33,1
359,David Morgan,MIN,TE,5,6,83.33,0
360,Jay Ajayi,PHI,RB,5,6,83.33,0
361,Robert Tonyan,GB,TE,4,6,66.67,1
362,Roosevelt Nix,PIT,FB,4,6,66.67,0
363,Ben Braunecker,CHI,TE,4,6,66.67,0
364,Tyler Kroft,CIN,TE,4,6,66.67,0
365,DeAnthony Thomas,KC,WR,4,6,66.67,1
366,C.J. Anderson,LA,RB,4,6,66.67,0
367,Keith Ford,BUF,RB,4,6,66.67,0
368,Bobo Wilson,TB,WR,4,6,66.67,0
369,Jeremy Sprinkle,WAS,TE,3,6,50.00,1
370,Jalen Tolliver,ARI,WR,3,6,50.00,0
371,Jacob Hollister,NE,TE,4,5,80.00,0
372,Javon Wims,CHI,WR,4,5,80.00,0
373,Byron Marshall,WAS,RB,4,5,80.00,0
374,Chad Beebe,MIN,WR,4,5,80.00,0
375,Orson Charles,CLE,TE,3,5,60.00,0
376,Jeremy Kerley,BUF,WR,3,5,60.00,0
377,Derrick Willies,CLE,WR,3,5,60.00,0
378,Jamize Olawale,DAL,RB,3,5,60.00,0
379,A.J. Derby,MIA,TE,3,5,60.00,1
380,Kelvin Benjamin,KC,WR,2,5,40.00,0
381,Alan Cross,TB,TE,2,5,40.00,0
382,Mike Wallace,PHI,WR,1,5,20.00,0
383,Nick Bellore,DET,FB,4,4,100.00,0
384,Kenneth Dixon,BAL,RB,4,4,100.00,0
385,Cameron Artis-Payne,CAR,RB,3,4,75.00,0
386,Shaun Wilson,TB,RB,3,4,75.00,0
387,Ricky Ortiz,ATL,FB,3,4,75.00,0
388,Dwayne Allen,NE,TE,3,4,75.00,0
389,Stevan Ridley,PIT,RB,3,4,75.00,0
390,Marcedes Lewis,GB,TE,3,4,75.00,0
391,Samaje Perine,WAS,RB,3,4,75.00,0
392,Brian Quick,WAS,WR,3,4,75.00,0
393,Kapri Bibbs,GB,RB,3,4,75.00,0
394,Patrick DiMarco,BUF,RB,3,4,75.00,0
395,Dion Sims,CHI,TE,2,4,50.00,0
396,Chris Manhertz,CAR,TE,2,4,50.00,1
397,Leonte Carroo,MIA,WR,2,4,50.00,1
398,Justin Watson,TB,WR,1,4,25.00,0
399,Josh Malone,CIN,WR,1,4,25.00,0
400,Brandon Bolden,MIA,RB,3,3,100.00,1
401,Tommylee Lewis,NO,WR,3,3,100.00,1
402,C.J. Prosise,SEA,RB,3,3,100.00,0
403,John Phillips,ARI,TE,3,3,100.00,0
404,Charcandrick West,KC,RB,2,3,66.67,1
405,Joe Webb,HOU,QB,2,3,66.67,0
406,JMon Moore,GB,WR,2,3,66.67,0
407,Rishard Matthews,NYJ,WR,2,3,66.67,0
408,Terrance Williams,DAL,WR,2,3,66.67,0
409,Derrick Coleman,ARI,FB,2,3,66.67,0
410,Malik Turner,SEA,WR,2,3,66.67,0
411,Tre Madden,SEA,FB,2,3,66.67,0
412,John Kelly,LA,RB,2,3,66.67,0
413,Jamaal Charles,JAX,RB,2,3,66.67,0
414,Mike Boone,MIN,RB,2,3,66.67,0
415,KhaDarel Hodge,LA,WR,2,3,66.67,0
416,Nick Williams,LA,WR,2,3,66.67,0
417,Darrius Heyward-Bey,PIT,WR,1,3,33.33,0
418,Shelton Gibson,PHI,WR,1,3,33.33,0
419,Gehrig Dieter,KC,WR,1,3,33.33,0
420,Jordan Franks,CIN,TE,2,2,100.00,0
421,Charone Peake,NYJ,WR,2,2,100.00,0
422,Detrez Newsome,LAC,RB,2,2,100.00,0
423,DOnta Foreman,HOU,RB,2,2,100.00,1
424,Ross Dwelley,SF,TE,2,2,100.00,0
425,DeLance Turner,BAL,RB,2,2,100.00,0
426,J.D. McKissic,SEA,RB,1,2,50.00,0
427,Damiere Byrd,CAR,WR,1,2,50.00,0
428,Robert Turbin,IND,RB,1,2,50.00,0
429,Jehu Chesson,WAS,WR,1,2,50.00,0
430,Brian Hill,ATL,RB,1,2,50.00,0
431,Jerome Cunningham,DET,TE,1,2,50.00,0
432,Keon Hatcher,OAK,WR,1,2,50.00,0
433,Ameer Abdullah,MIN,RB,1,2,50.00,0
434,Ryan Hewitt,IND,TE,1,2,50.00,1
435,Marcus Kemp,KC,WR,1,2,50.00,0
436,Sammie Coates,HOU,WR,1,2,50.00,0
437,Brandon Zylstra,MIN,WR,1,2,50.00,0
438,Andrew Luck,IND,QB,1,2,50.00,0
439,Bradley Sowell,CHI,OT,1,2,50.00,1
440,Darvin Kidsy,WAS,WR,1,2,50.00,0
441,Danny Vitale,GB,RB,1,2,50.00,0
442,Taiwan Jones,BUF,RB,0,2,0.00,0
443,Lamar Jackson,BAL,QB,0,2,0.00,0
444,Michael Burton,CHI,RB,1,1,100.00,0
445,Dion Dawkins,BUF,OT,1,1,100.00,1
446,Matt Flanagan,WAS,TE,1,1,100.00,0
447,Taylor Decker,DET,OT,1,1,100.00,1
448,Tyrod Taylor,CLE,QB,1,1,100.00,0
449,Carson Wentz,PHI,QB,1,1,100.00,0
450,Drew Brees,NO,QB,1,1,100.00,0
451,Tom Brady,NE,QB,1,1,100.00,0
452,Cam Phillips,BUF,WR,1,1,100.00,0
453,Joe Staley,SF,OT,1,1,100.00,0
454,Matt Ryan,ATL,QB,1,1,100.00,1
455,Sam Shields,LA,CB,1,1,100.00,0
456,Derek Carr,OAK,QB,1,1,100.00,0
457,Alejandro Villanueva,PIT,OT,1,1,100.00,1
458,Ryan Kelly,IND,C,1,1,100.00,0
459,Nick Foles,PHI,QB,1,1,100.00,0
460,Kyle Williams,BUF,DT,1,1,100.00,0
461,Mike Gillislee,NO,RB,1,1,100.00,0
462,Spencer Pulley,NYG,C,1,1,100.00,0
463,Justin Hardee,NO,DB,1,1,100.00,0
464,Khari Lee,BUF,TE,1,1,100.00,0
465,Travaris Cadet,CAR,RB,1,1,100.00,0
466,Marcus Mariota,TEN,QB,1,1,100.00,0
467,Derek Watt,LAC,FB,1,1,100.00,0
468,J.J. Jones,NYJ,WR,1,1,100.00,0
469,Russell Wilson,SEA,QB,1,1,100.00,0
470,Matt Schaub,ATL,QB,1,1,100.00,0
471,Ryan Tannehill,MIA,QB,1,1,100.00,1
472,Jeremy Hill,NE,RB,1,1,100.00,0
473,George Fant,SEA,OT,1,1,100.00,0
474,Kirk Cousins,MIN,QB,1,1,100.00,0
475,Chase Daniel,CHI,QB,1,1,100.00,0
476,Johnny Mundt,LA,TE,1,1,100.00,0
477,Tim White,BAL,WR,1,1,100.00,0
478,Gus Edwards,BAL,RB,1,1,100.00,0
479,Dane Cruikshank,TEN,DB,1,1,100.00,1
480,Allen Lazard,GB,WR,1,1,100.00,0
481,Alex Armah,CAR,FB,1,1,100.00,0
482,Ben Roethlisberger,PIT,QB,1,1,100.00,0
483,Kenjon Barner,CAR,RB,1,1,100.00,0
484,Richard Rodgers,PHI,TE,1,1,100.00,0
485,Sean Culkin,LAC,TE,1,1,100.00,0
486,Andre Holmes,DEN,WR,1,1,100.00,0
487,DeAndre Washington,OAK,RB,1,1,100.00,0
488,Benny Cunningham,CHI,RB,1,1,100.00,0
489,Dak Prescott,DAL,QB,0,1,0.00,0
490,Jourdan Lewis,DAL,CB,0,1,0.00,0
491,Chris Lacy,DET,WR,0,1,0.00,0
492,Sam Hubbard,CIN,DE,0,1,0.00,0
493,Stephen Hauschka,BUF,K,0,1,0.00,0
494,Steven Mitchell,HOU,WR,0,1,0.00,0
495,Darrell Daniels,ARI,TE,0,1,0.00,0
496,Mason Schreck,CIN,TE,0,1,0.00,0
497,Isaiah Ford,MIA,WR,0,1,0.00,0
498,Freddie Martino,TB,WR,0,1,0.00,0
499,Mason Crosby,GB,K,0,1,0.00,0
500,Johnny Holton,OAK,WR,0,1,0.00,0
501,Darius Jackson,DAL,RB,0,1,0.00,0
502,Josh Allen,BUF,QB,0,1,0.00,0
503,Geremy Davis,LAC,WR,0,1,0.00,0
