Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
238,Tavon Austin,LA,WR,13,22,59.09,0
239,Travis Rudolph,NYG,WR,9,22,40.91,0
240,Mike Davis,SEA,RB,16,21,76.19,0
241,Luke Willson,SEA,TE,15,21,71.43,4
242,Virgil Green,DEN,TE,14,21,66.67,1
243,Pharoh Cooper,LA,WR,11,21,52.38,1
244,C.J. Fiedorowicz,HOU,TE,14,20,70.00,0
245,Niles Paul,WAS,TE,13,20,65.00,0
246,Daniel Brown,CHI,TE,13,20,65.00,0
247,Doug Martin,TB,RB,11,20,55.00,0
248,Peyton Barber,TB,RB,16,19,84.21,0
249,Kelvin Benjamin,BUF,WR,13,19,68.42,1
250,Jordan Taylor,DEN,WR,13,19,68.42,0
251,Phillip Dorsett,NE,WR,12,19,63.16,0
252,Maxx Williams,BAL,TE,15,18,83.33,1
253,Kapri Bibbs,WAS,RB,14,18,77.78,1
254,Wendell Smallwood,PHI,RB,13,18,72.22,0
255,Derrick Henry,TEN,RB,12,18,66.67,1
256,Chris Conley,KC,WR,11,18,61.11,0
257,Adrian Peterson,ARI,RB,9,18,50.00,0
258,Aaron Jones,GB,RB,9,18,50.00,0
259,Latavius Murray,MIN,RB,15,17,88.24,0
260,Mike Tolbert,BUF,FB,14,17,82.35,0
261,Dalvin Cook,MIN,RB,11,17,64.71,0
262,Chad Hansen,NYJ,WR,9,17,52.94,0
263,Josh Malone,CIN,WR,6,17,35.29,1
264,Markus Wheaton,CHI,WR,3,17,17.65,0
265,Travaris Cadet,BUF,RB,13,16,81.25,0
266,Nick Vannett,SEA,TE,12,16,75.00,1
267,Corey Clement,PHI,RB,11,16,68.75,2
268,Michael Floyd,MIN,WR,10,16,62.50,0
269,Jeff Heuerman,DEN,TE,9,16,56.25,2
270,Damiere Byrd,CAR,WR,9,16,56.25,2
271,Amara Darboh,SEA,WR,9,16,56.25,0
272,Johnny Holton,OAK,WR,9,16,56.25,3
273,Willie Snead,NO,WR,8,16,50.00,0
274,Louis Murphy,SF,WR,8,16,50.00,1
275,DeAnthony Thomas,KC,WR,14,15,93.33,2
276,Anthony Fasano,MIA,TE,13,15,86.67,2
277,Alex Erickson,CIN,WR,12,15,80.00,1
278,Adam Shaheen,CHI,TE,12,15,80.00,3
279,C.J. Uzomah,CIN,TE,10,15,66.67,1
280,Tommylee Lewis,NO,WR,10,15,66.67,1
281,Jonathan Stewart,CAR,RB,9,15,60.00,1
282,Kaelin Clay,CAR,WR,5,15,33.33,0
283,Levine Toilolo,ATL,TE,12,14,85.71,1
284,Brandon Williams,IND,TE,11,14,78.57,0
285,Thomas Rawls,SEA,RB,10,14,71.43,0
286,Jay Ajayi,PHI,RB,10,14,71.43,1
287,Kerwynn Williams,ARI,RB,10,14,71.43,0
288,Austin Traylor,DEN,TE,8,14,57.14,0
289,Michael Clark,GB,WR,4,14,28.57,0
290,David Morgan,MIN,TE,11,13,84.62,1
291,Brenton Bersin,CAR,WR,9,13,69.23,0
292,Clive Walford,OAK,TE,9,13,69.23,0
293,Brandon Tate,BUF,WR,6,13,46.15,1
294,ArDarius Stewart,NYJ,WR,6,13,46.15,1
295,Robert Turbin,IND,RB,10,12,83.33,0
296,Tyler Ervin,HOU,RB,9,12,75.00,0
297,Paul Perkins,NYG,RB,9,12,75.00,0
298,Darren Sproles,PHI,RB,8,12,66.67,0
299,Lee Smith,OAK,TE,8,12,66.67,0
300,Leonte Carroo,MIA,WR,7,12,58.33,0
301,Neal Sterling,NYJ,TE,7,12,58.33,0
302,Branden Oliver,LAC,RB,6,12,50.00,0
303,Jaydon Mickens,JAX,WR,6,12,50.00,2
304,Isaiah McKenzie,DEN,WR,4,12,33.33,0
305,Darrell Daniels,IND,TE,3,12,25.00,0
306,Malcolm Brown,LA,RB,9,11,81.82,0
307,Jacquizz Rodgers,TB,RB,9,11,81.82,0
308,Jerell Adams,NYG,TE,8,11,72.73,0
309,Derek Carrier,LA,TE,8,11,72.73,0
310,Tommy Bohanon,JAX,RB,6,11,54.55,1
311,Michael Hoomanawanui,NO,TE,6,11,54.55,1
312,C.J. Prosise,SEA,RB,6,11,54.55,0
313,Jacob Hollister,NE,TE,4,11,36.36,0
314,Eric Tomlinson,NYJ,TE,8,10,80.00,1
315,Alfred Morris,DAL,RB,8,10,80.00,0
316,Aaron Ripkowski,GB,FB,7,10,70.00,0
317,James Develin,NE,FB,6,10,60.00,0
318,Sammie Coates,CLE,WR,6,10,60.00,0
319,Tanner McEvoy,SEA,WR,5,10,50.00,0
320,Noah Brown,DAL,WR,4,10,40.00,0
321,LeGarrette Blount,PHI,RB,8,9,88.89,1
322,Alfred Blue,HOU,RB,7,9,77.78,0
323,Logan Thomas,BUF,TE,7,9,77.78,1
324,Patrick DiMarco,BUF,RB,7,9,77.78,0
325,Marcus Johnson,PHI,WR,6,9,66.67,0
326,Xavier Grimble,PIT,TE,6,9,66.67,1
327,Andre Ellington,HOU,RB,6,9,66.67,0
328,Brittan Golden,ARI,WR,5,9,55.56,0
329,Kenjon Barner,PHI,RB,5,9,55.56,0
330,Justin Hunter,PIT,WR,4,9,44.44,1
331,James Hanna,DAL,TE,4,9,44.44,1
332,A.J. Derby,MIA,TE,2,9,22.22,0
333,Marvin Hall,ATL,WR,2,9,22.22,1
334,Chris Carson,SEA,RB,7,8,87.50,1
335,C.J. Ham,MIN,FB,7,8,87.50,0
336,Trevor Davis,GB,WR,6,8,75.00,0
337,Ryan Switzer,DAL,WR,6,8,75.00,0
338,Jamize Olawale,OAK,RB,6,8,75.00,0
339,DOnta Foreman,HOU,RB,6,8,75.00,0
340,Brian Quick,WAS,WR,6,8,75.00,0
341,Anthony Sherman,KC,RB,6,8,75.00,0
342,Bobby Rainey,BAL,RB,6,8,75.00,0
343,Hunter Sharp,NYG,WR,5,8,62.50,1
344,Derrick Coleman,ATL,FB,2,8,25.00,0
345,Byron Marshall,WAS,RB,6,7,85.71,0
346,Andy Janovich,DEN,FB,5,7,71.43,0
347,Mike Thomas,LA,WR,5,7,71.43,0
348,Ben Koyack,JAX,TE,5,7,71.43,0
349,Michael Roberts,DET,TE,4,7,57.14,0
350,Akeem Hunt,KC,RB,4,7,57.14,0
351,Rob Kelley,WAS,RB,4,7,57.14,0
352,Jared Abbrederis,DET,WR,3,7,42.86,0
353,Chad Williams,ARI,WR,3,7,42.86,0
354,DeAndrew White,HOU,WR,1,7,14.29,0
355,Keith Smith,DAL,FB,6,6,100.00,0
356,Eddie Lacy,SEA,RB,6,6,100.00,0
357,Martellus Bennett,NE,TE,6,6,100.00,0
358,Tyler Eifert,CIN,TE,5,6,83.33,0
359,Lawrence Thomas,NYJ,FB,5,6,83.33,0
360,Freddie Martino,TB,WR,5,6,83.33,0
361,Chris Johnson,ARI,RB,5,6,83.33,0
362,Chris Thompson,HOU,WR,5,6,83.33,0
363,Alan Cross,TB,TE,5,6,83.33,0
364,Fozzy Whittaker,CAR,RB,5,6,83.33,1
365,Elijhaa Penny,ARI,RB,4,6,66.67,0
366,Griff Whalen,BAL,WR,4,6,66.67,0
367,Chris Matthews,BAL,WR,3,6,50.00,0
368,Maurice Harris,WAS,WR,3,6,50.00,1
369,Cobi Hamilton,HOU,WR,1,6,16.67,0
370,Patrick Ricard,BAL,FB,4,5,80.00,2
371,Matt Dayes,CLE,RB,4,5,80.00,0
372,Phillip Supernaw,TEN,TE,4,5,80.00,1
373,Danny Vitale,CLE,RB,3,5,60.00,0
374,Jeff Janis,GB,WR,2,5,40.00,0
