Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
204,Moncrief,Donte,Donte Moncrief,1,693,60,WR,FA,58
205,Butker,Harrison,Harrison Butker,1,1109,55,PK,KCC,3
206,Brown,John,John Brown,3,448,60,WR,BUF,59
207,Weber,Mike,Mike Weber,6,817,14,RB,FA,53
209,Peterson,Adrian,Adrian Peterson,2,723,61,RB,WAS,54
212,Olsen,Greg,Greg Olsen,1,564,56,TE,CAR,17
213,Allen,Josh,Josh Allen,1,445,49,QB,BUF,25
214,Vikings,Minnesota,Minnesota Vikings,5,403,53,Def,MIN,6
215,Johnson,KeeSean,KeeSean Johnson,5,643,25,WR,ARI,60
216,Gallup,Michael,Michael Gallup,3,372,55,WR,DAL,61
218,Andrews,Mark,Mark Andrews,1,482,53,TE,BAL,18
219,Hall,Emanuel,Emanuel Hall,13,993,8,WR,WAS,62
220,Ollison,Qadree,Qadree Ollison,3,710,18,RB,ATL,55
221,Lutz,Wil,Wil Lutz,3,1155,56,PK,NOS,4
224,Finley,Ryan,Ryan Finley,1,834,12,QB,CIN,26
226,Jones,Ronald,Ronald Jones,2,384,48,RB,TBB,56
227,Burton,Trey,Trey Burton,1,463,50,TE,CHI,19
230,Slayton,Darius,Darius Slayton,3,686,14,WR,NYG,63
232,Darnold,Sam,Sam Darnold,4,418,36,QB,NYJ,27
235,Stafford,Matthew,Matthew Stafford,1,452,38,QB,DET,28
236,Sample,Drew,Drew Sample,6,812,9,TE,CIN,20
238,Gostkowski,Stephen,Stephen Gostkowski,3,1166,55,PK,NEP,5
240,Carr,Derek,Derek Carr,2,424,40,QB,OAK,29
241,Miller,Anthony,Anthony Miller,10,462,45,WR,CHI,64
242,Graham,Jimmy,Jimmy Graham,2,488,53,TE,GBP,21
243,Tate,Golden,Golden Tate,9,450,50,WR,NYG,65
244,Lewis,Dion,Dion Lewis,1,532,53,RB,TEN,57
245,Waller,Darren,Darren Waller,1,595,49,TE,OAK,22
247,Patriots,New England,New England Patriots,4,397,46,Def,NEP,7
248,Coutee,Keke,Keke Coutee,4,517,41,WR,HOU,66
249,Barnes,Alex,Alex Barnes,10,1030,10,RB,FA,58
250,Foles,Nick,Nick Foles,1,707,28,QB,JAC,30
251,Meyers,Jakobi,Jakobi Meyers,1,1007,16,WR,NEP,67
