"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"22","Matt Bryant (FA)","24","27","88.9","53","0","9","7","5","3","39","39","16","122.0","7.6","2.0%"
"23","Mike Nugent (ARI)","18","22","81.8","54","0","2","6","7","3","52","52","16","119.0","7.4","1.0%"
"24","Garrett Hartley (FA)","22","30","73.3","55","2","5","5","9","1","41","41","14","118.0","8.4","0.0%"
"25","Randy Bullock (CIN)","26","35","74.3","51","1","7","5","12","1","26","26","16","118.0","7.4","14.5%"
"26","Sebastian Janikowski (FA)","21","30","70.0","53","0","6","4","8","3","37","37","16","113.0","7.1","20.0%"
"27","Rian Lindell (FA)","23","29","79.3","54","0","3","12","4","4","31","31","16","112.0","7.0","0.0%"
"28","David Akers (FA)","19","24","79.2","53","1","5","6","4","3","42","42","16","109.0","6.8","0.0%"
"29","Josh Brown (FA)","23","26","88.5","52","0","8","7","7","1","31","31","16","108.0","6.8","0.0%"
"30","Billy Cundiff (FA)","21","26","80.8","51","0","7","5","7","2","32","32","16","106.0","6.6","0.0%"
"31","Josh Scobee (FA)","23","25","92.0","55","0","3","12","4","4","22","22","16","103.0","6.4","0.0%"
"32","Kai Forbath (LAR)","18","22","81.8","50","0","3","10","4","1","26","26","13","86.0","6.6","2.2%"
"33","John Potter (FA)","3","4","75.0","43","0","2","0","1","0","7","7","3","17.0","5.7","0.0%"
"34","Shayne Graham (FA)","2","2","100.0","40","0","1","0","1","0","7","7","2","14.0","7.0","0.0%"
"35","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3%"
"36","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.0%"
"37","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.0%"
"38","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","Greg Joseph (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"41","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1%"
"42","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Zane Gonzalez (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.5%"
"45","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.6%"
"46","Josh Lambo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"47","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"48","Ka'imi Fairbairn (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.3%"
"49","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Taylor Bertolet (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"51","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"52","Wil Lutz (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.9%"
"53","Aldrick Rosas (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"54","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"55","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.7%"
"56","Harrison Butker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"57","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Elliott Fry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"60","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"61","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.8%"
"63","Chase McLaughlin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Jason Myers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.5%"
"66","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.1%"
"67","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9%"
"68","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"70","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Lirim Hajrullahu (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"74","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.3%"
"86","Brett Maher (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Chris Boswell (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.8%"
"89","Brandon McManus (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.0%"
"90","Cairo Santos (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"91","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Cody Parkey (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"93","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"98","Dustin Hopkins (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"99","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
