"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"239","Ito Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3%"
"240","Josh Adams (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"241","Kerryon Johnson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.1%"
"242","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"243","Royce Freeman (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"244","Ronald Jones II (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.0%"
"245","Saquon Barkley (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.3%"
"246","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Darwin Thompson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"248","Mike Weber (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Travis Homer (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"251","Benny Snell Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.5%"
"252","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"253","Darrell Henderson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.0%"
"254","Alec Ingold (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"255","Ryquell Armstead (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"256","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Kerrith Whyte Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Qadree Ollison (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"259","Jeremy Cox (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Khari Blasingame (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Tony Pollard (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.4%"
"263","Cullen Gillaspia (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Chandler Cox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Devine Ozigbo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"268","Dexter Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"269","Dalyn Dawkins (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Dontrell Hilliard (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"272","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"273","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Ty Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"275","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Patrick Laird (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"277","Miles Sanders (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"278","Devin Singletary (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.9%"
"279","Josh Jacobs (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.6%"
"280","Bryce Love (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"281","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"282","David Montgomery (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.9%"
"283","Damien Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.9%"
"284","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Will Tukuafu (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"286","Chris Rainey (FA)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"287","Evan Rodriguez (FA)","0","0","0","0","0","0","0","1","0","0","0","0","7","0.0","0.0","0.0%"
"288","Rodney Stewart (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Bruce Miller (JAC)","7","13","1.9","4","0","0","25","36","243","9.7","0","0","14","0.0","0.0","0.0%"
"290","Andre Anderson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Javarris James (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Delone Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"293","Dion Lewis (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"294","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"295","Isaac Odim (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Mario Harvey (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"300","Carlos Hyde (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.3%"
"301","Devonta Freeman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.8%"
"302","James White (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.8%"
"303","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Jerick McKinnon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.9%"
"305","Damien Williams (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
