"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"172","Deontay Burnett (PHI)","2","4","48","24.0","41","1","0","0","0","0","0","2","5.8","2.9","0.0%"
"173","Alexander Hollins (MIN)","2","4","46","23.0","35","1","0","0","0","0","0","5","5.6","1.1","0.0%"
"174","Jason Moore (LAC)","2","5","43","21.5","32","1","0","0","0","0","0","10","5.3","0.5","0.0%"
"175","Geremy Davis (FA)","3","3","38","12.7","19","0","0","0","0","0","0","8","5.3","0.7","0.0%"
"176","Jordan Matthews (SF)","4","12","33","8.3","10","0","0","0","0","0","0","3","5.3","1.8","0.0%"
"177","Devin Funchess (GB)","3","5","32","10.7","16","0","0","0","0","0","0","1","4.7","4.7","0.6%"
"178","Diontae Spencer (DEN)","6","8","31","5.2","20","1","0","3","6","0","1","16","4.7","0.3","0.0%"
"179","Steven Mitchell Jr. (HOU)","2","6","37","18.5","21","1","0","0","0","0","0","4","4.7","1.2","0.0%"
"180","Johnny Holton (NYG)","3","15","21","7.0","18","0","0","1","9","0","0","16","4.5","0.3","0.0%"
"181","Ishmael Hyman (CAR)","2","4","34","17.0","31","1","0","0","0","0","0","2","4.4","2.2","0.0%"
"182","Cody Core (NYG)","3","5","28","9.3","11","0","0","0","0","0","0","16","4.3","0.3","0.0%"
"183","Michael Crabtree (FA)","4","5","22","5.5","9","0","0","0","0","0","0","3","4.2","1.4","0.0%"
"184","Andre Roberts (BUF)","3","7","20","6.7","7","0","0","1","7","0","0","13","4.2","0.3","0.1%"
"185","C.J. Board (NYG)","2","4","31","15.5","23","1","0","0","0","0","0","4","4.1","1.0","0.0%"
"186","Russell Shepard (FA)","3","8","25","8.3","12","0","0","0","0","0","0","3","4.0","1.3","0.0%"
"187","Donte Moncrief (NE)","4","15","18","4.5","11","0","0","0","0","0","0","8","3.8","0.5","0.0%"
"188","Da'Mari Scott (NYG)","2","3","22","11.0","11","0","0","1","5","0","0","5","3.7","0.7","0.0%"
"189","Cam Sims (WAS)","2","3","27","13.5","15","0","0","0","0","0","0","8","3.7","0.5","0.6%"
"190","Chris Moore (BAL)","3","5","21","7.0","13","0","0","1","0","0","0","14","3.6","0.3","0.0%"
"191","Ryan Grant (FA)","4","9","14","3.5","9","0","0","0","0","0","0","2","3.4","1.7","0.0%"
"192","Marqise Lee (NE)","3","4","18","6.0","8","0","0","1","1","0","0","6","3.4","0.6","0.0%"
"193","Stanley Morgan Jr. (CIN)","3","10","18","6.0","9","0","0","0","0","0","0","11","3.3","0.3","0.0%"
"194","Fred Brown (DEN)","2","3","21","10.5","16","0","0","0","0","0","0","13","3.1","0.2","0.0%"
"195","Josh Bellamy (FA)","2","3","20","10.0","15","0","0","0","0","0","0","7","3.0","0.4","0.0%"
"196","Bobo Wilson (FA)","3","11","35","11.7","14","0","0","0","0","0","1","6","3.0","0.5","0.0%"
"197","Darius Jennings (FA)","2","5","17","8.5","11","0","0","0","0","0","0","8","2.7","0.3","0.0%"
"198","Robert Davis (LV)","2","5","17","8.5","11","0","0","0","0","0","0","6","2.7","0.5","0.0%"
"199","Ashton Dulin (IND)","2","2","17","8.5","13","0","0","0","0","0","0","13","2.7","0.2","0.0%"
"200","Mike Thomas (CIN)","2","5","14","7.0","9","0","0","0","0","0","0","16","2.4","0.2","0.1%"
"201","Gunner Olszewski (NE)","2","4","34","17.0","29","1","0","0","0","0","1","8","2.4","0.3","0.1%"
"202","Cody Hollister (TEN)","2","2","13","6.5","11","0","0","0","0","0","0","5","2.3","0.5","0.0%"
"203","Rashard Davis (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"204","Jeff Smith (NYJ)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"205","De'Anthony Thomas (BAL)","1","2","6","6.0","6","0","0","2","5","0","0","14","1.6","0.1","0.0%"
"206","John Ursua (SEA)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.6","0.5","0.0%"
